Country,Medal,Year,Count
GER,Bronze,1896,2
GER,Bronze,1900,11
GER,Bronze,1904,7
GER,Bronze,1906,6
GER,Bronze,1908,6
GER,Bronze,1912,23
GER,Bronze,1928,46
GER,Bronze,1932,21
GER,Bronze,1936,61
GER,Bronze,1952,28
GER,Bronze,1956,24
GER,Bronze,1960,23
GER,Bronze,1964,53
GER,Bronze,1992,67
GER,Bronze,1994,12
GER,Bronze,1996,47
GER,Bronze,1998,10
GER,Bronze,2000,64
GER,Bronze,2002,12
GER,Bronze,2004,63
GER,Bronze,2006,6
GER,Bronze,2008,41
GER,Bronze,2010,15
GER,Bronze,2012,22
GER,Bronze,2014,9
GER,Bronze,2016,67
GER,Gold,1896,25
GER,Gold,1900,14
GER,Gold,1904,4
GER,Gold,1906,14
GER,Gold,1908,4
GER,Gold,1912,11
GER,Gold,1928,21
GER,Gold,1932,10
GER,Gold,1936,97
GER,Gold,1952,8
GER,Gold,1956,10
GER,Gold,1960,38
GER,Gold,1964,25
GER,Gold,1992,95
GER,Gold,1994,18
GER,Gold,1996,42
GER,Gold,1998,22
GER,Gold,2000,31
GER,Gold,2002,26
GER,Gold,2004,41
GER,Gold,2006,23
GER,Gold,2008,42
GER,Gold,2010,15
GER,Gold,2012,45
GER,Gold,2014,15
GER,Gold,2016,49
GER,Silver,1896,5
GER,Silver,1900,20
GER,Silver,1904,5
GER,Silver,1906,10
GER,Silver,1908,11
GER,Silver,1912,19
GER,Silver,1928,15
GER,Silver,1932,26
GER,Silver,1936,73
GER,Silver,1952,16
GER,Silver,1956,20
GER,Silver,1960,37
GER,Silver,1964,48
GER,Silver,1992,74
GER,Silver,1994,10
GER,Silver,1996,35
GER,Silver,1998,12
GER,Silver,2000,23
GER,Silver,2002,23
GER,Silver,2004,45
GER,Silver,2006,25
GER,Silver,2008,16
GER,Silver,2010,24
GER,Silver,2012,27
GER,Silver,2014,12
GER,Silver,2016,43
